"08-06-2020";"08-06-2020";"picopizza.dk";"-238,00";"11.278,33"
"08-06-2020";"08-06-2020";"Dankort Netto H.C Ørstedsv";"-390,75";"11.516,33"
"03-06-2020";"03-06-2020";"Dankort Kantinen OPA 34";"-19,80";"11.907,08"
"03-06-2020";"03-06-2020";"Dankort REMA 1000 Århus C";"-51,15";"11.926,88"
"02-06-2020";"02-06-2020";"Dankort REMA 1000 Århus C";"-71,40";"11.978,03"
"02-06-2020";"02-06-2020";"Dankort Kantinen OPA 34";"-18,90";"12.049,43"
"02-06-2020";"02-06-2020";"Dankort Kiosken Den Perman";"-36,00";"12.068,33"
"02-06-2020";"02-06-2020";"Dankort Netto H.C Ørstedsv";"-170,15";"12.104,33"
"29-05-2020";"29-05-2020";"Netto H.C Ørstedsv";"-447,15";"12.274,48"
"29-05-2020";"29-05-2020";"Mad Cat";"2.900,00";"12.721,63"
"29-05-2020";"29-05-2020";"Mad+frokost";"3.100,00";"9.821,63"
"27-05-2020";"27-05-2020";"DSB NETBUTIK Nota 2759714115";"-129,00";"6.721,63"
"25-05-2020";"25-05-2020";"Dankort Netto H.C Ørstedsv";"-386,80";"6.850,63"
"25-05-2020";"25-05-2020";"Netto H.C Ørstedsv";"-371,75";"7.237,43"
"25-05-2020";"25-05-2020";"Overførsel";"1.900,00";"7.609,18"
"25-05-2020";"25-05-2020";"DSB NETBUTIK Nota 2755488027";"-117,00";"5.709,18"
"19-05-2020";"19-05-2020";"Dankort Netto H.C Ørstedsv";"-365,70";"5.826,18"
"18-05-2020";"18-05-2020";"Norwegian retur";"1.806,00";"6.191,88"
"18-05-2020";"18-05-2020";"Dankort Netto H.C Ørstedsv";"-486,30";"4.385,88"
"18-05-2020";"18-05-2020";"VINØL HOBBY ApS Nota 198405";"-110,00";"4.872,18"
"11-05-2020";"11-05-2020";"Dankort Netto H.C Ørstedsv";"-412,60";"4.982,18"
"11-05-2020";"11-05-2020";"Boligportal.dk ApS Nota B-2016603-2";"-298,00";"5.394,78"
"07-05-2020";"07-05-2020";"Netto H.C Ørstedsv";"-990,70";"5.692,78"
"06-05-2020";"06-05-2020";"Boligportal.dk ApS Nota A-2016603-1";"-29,00";"6.683,48"
"04-05-2020";"04-05-2020";"EasyPark";"-74,84";"6.712,48"
"04-05-2020";"04-05-2020";"Dankort CIRCLE K SYDHAVNS";"-199,76";"6.787,32"
"04-05-2020";"04-05-2020";"elina gave";"-207,00";"6.987,08"
"04-05-2020";"04-05-2020";"malene gave";"-300,00";"7.194,08"
"04-05-2020";"04-05-2020";"Dankort CIRCLE K RANDERSVE";"-334,16";"7.494,08"
"04-05-2020";"04-05-2020";"Dankort Storebæltsforbinde";"-245,00";"7.828,24"
"04-05-2020";"04-05-2020";"MobilePay Nota 5316797183";"-12,67";"8.073,24"
"04-05-2020";"04-05-2020";"Dankort Storebæltsforbinde";"-245,00";"8.085,91"
"30-04-2020";"30-04-2020";"naja gave";"-300,00";"8.330,91"
"30-04-2020";"30-04-2020";"Netto H.C Ørstedsv";"-763,06";"8.630,91"
"30-04-2020";"30-04-2020";"Mad Cat";"2.900,00";"9.393,97"
"30-04-2020";"30-04-2020";"Mad+frokost";"3.100,00";"6.493,97"
"24-04-2020";"24-04-2020";"Netto H.C Ørstedsv";"-479,05";"3.393,97"
"21-04-2020";"21-04-2020";"PS4 spil";"-119,00";"3.873,02"
"20-04-2020";"20-04-2020";"Netto H.C Ørstedsv";"-637,40";"3.992,02"
"15-04-2020";"15-04-2020";"matas.dk Nota 5626295";"-172,85";"4.629,42"
"14-04-2020";"14-04-2020";"Netto H.C Ørstedsv";"-762,02";"4.802,27"
"14-04-2020";"14-04-2020";"Firtal Web Aps Nota 101203078";"-248,00";"5.564,29"
"14-04-2020";"14-04-2020";"Påskejagt";"500,00";"5.812,29"
"08-04-2020";"08-04-2020";"Netto H.C Ørstedsv";"-631,00";"5.312,29"
"08-04-2020";"08-04-2020";"Den bedste ikke-feri";"-1.156,00";"5.943,29"
"03-04-2020";"03-04-2020";"Netto H.C Ørstedsv";"-342,80";"7.099,29"
"31-03-2020";"31-03-2020";"Mad Cat";"2.900,00";"7.442,09"
"31-03-2020";"31-03-2020";"Mad+frokost";"3.100,00";"4.542,09"
"30-03-2020";"30-03-2020";"Netto H.C Ørstedsv";"-669,55";"1.442,09"
"24-03-2020";"24-03-2020";"Netto H.C Ørstedsv";"-365,95";"2.111,64"
"20-03-2020";"20-03-2020";"Rema 1000";"-392,88";"2.477,59"
"20-03-2020";"20-03-2020";"Dankort Netto H.C Ørstedsv";"-242,70";"2.870,47"
"19-03-2020";"19-03-2020";"Tilbagebetaling";"-5.000,00";"3.113,17"
"18-03-2020";"18-03-2020";"FRA9236KTO4576656241";"6.698,92";"8.113,17"
"18-03-2020";"18-03-2020";"ELGIGANTEN A/S Nota C802544";"-2.548,00";"1.414,25"
"17-03-2020";"17-03-2020";"coolshop.dk Nota 52840593";"-443,00";"3.962,25"
"16-03-2020";"16-03-2020";"Netto H.C Ørstedsv";"-399,00";"4.405,25"
"13-03-2020";"13-03-2020";"Dankort Netto Rantzausgade";"-108,90";"4.804,25"
"13-03-2020";"13-03-2020";"Netto Rantzausgade";"-86,85";"4.913,15"
"13-03-2020";"13-03-2020";"Overførsel";"5.000,00";"5.000,00"
